Links,Newspaper,Date,State,Headline,Tone,Justification,Type
"https://www.loc.gov/resource/sn83030272/1904-05-15/ed-1/?sp=3&q=remonstrants&st=text&r=0.196,0.103,0.887,0.836,0",The Sun,5/15/1904,NY,Miss Clara Barton Resigns,Neutral,Mostly reporting the news,News
https://www.loc.gov/resource/sn85038008/1903-02-14/ed-1/?sp=1&q=remonstrants,The Woman's Tribune,2/14/1903,NE,Reply to the Antis,Pro,Argues for women,Opinion
https://www.loc.gov/resource/sn85058396/1913-05-03/ed-1/?sp=2&q=National+Association+Opposed+to+Woman+Suffrage,The Orgen Standard,5/3/1913,UT,Are these Cartoons Vulgar or Indecent?,Anti,Defends anti-suffragist comics,Opinion
https://www.loc.gov/resource/sn85052076/1913-11-06/ed-1/?sp=1&q=National+Association+Opposed+to+Woman+Suffrage,The Citizen,11/6/1913,KY,Woman Opposed to Woman Suffrage,Anti,Uses stats to prove women are anti-suffragist,News
https://www.loc.gov/resource/sn83045433/1914-02-24/ed-1/?sp=2&q=National+Association+Opposed+to+Woman+Suffrage,The Washington Herald,2/24/1914,DC,Women of South Taking Up Suffrage,Pro,Shows support of Southern Women,News
"https://www.loc.gov/resource/sn83045462/1917-12-27/ed-1/?sp=15&q=National+Association+Opposed+to+Woman+Suffrage&r=0.418,0.027,0.352,0.288,0",The Evening Star,12/27/1917,DC,Anti-Suffragist Women Leave National Council,Anti,Anti-suffragists don't want their name to be involved with suffragists,News
https://www.loc.gov/resource/2004540423/1914-11-25/ed-1/?sp=166&q=National+Association+Opposed+to+Woman+Suffrage,The Evening Telegram,11/25/1914,NY,"Mrs. Dodge Calls Blacklist a ""Suffrage Boomerang""",Anti,represents anti-suffragists,News
https://www.loc.gov/resource/sn89060379/1913-05-10/ed-1/?sp=7&q=National+Association+Opposed+to+Woman+Suffrage,The Maryland Suffrage News,5/10/1913,MD,"Extracts from the Woman's Protest, April, 1913, Official Organ of the National Association Opposed to Woman Suffrage",Anti,Quotes the Woman's Protest which is a anti-suffragist,Opinion
"https://www.loc.gov/resource/sn89060379/1916-01-29/ed-1/?sp=6&q=National+Association+Opposed+to+Woman+Suffrage&st=text&r=0.039,0.018,0.808,0.693,0",Maryland Suffrage News,1/29/1916,MD,A Nationwide Appeal,Pro,Describes suffragist oraganized campaign,News
"https://www.loc.gov/resource/sn83045462/1916-12-08/ed-1/?sp=16&q=National+Association+Opposed+to+Woman+Suffrage&st=text&r=0.328,0.066,0.584,0.5,0",Evening Star,12/8/1916,DC,Mrs. Dodge Cites Antis' Solidarity ,Anti,"Praising male roles and the ""antis""",News
"https://www.loc.gov/resource/sn83045433/1914-09-16/ed-1/?sp=10&q=National+Association+Opposed+to+Woman+Suffrage&st=text&r=0.454,0.473,0.253,0.217,0",The Washington Herald,9/16/1914,DC,Anti-Suffragists Assist Red Cross,Neutral,Reports donation,News
"https://www.loc.gov/resource/sn90050307/1916-05-13/ed-1/?sp=3&q=National+Association+Opposed+to+Woman+Suffrage&st=text&r=-0.045,0.743,0.403,0.345,0",The Prescot Daily News,5/13/1916,AR,Antis of All Sections Aiding Campaign In Iowa,Anti,"Focuses on anti-suffrage campaigns to ""save"" states",News
"https://www.loc.gov/resource/sn87068192/1915-05-20/ed-1/?sp=6&q=National+Association+Opposed+to+Woman+Suffrage&st=text&r=-0.285,-0.244,1.919,1.646,0",Bridgeton pioneer,5/20/1915,NJ,Woman Suffrage Battle Opens In New Jersey As Antis Unlimber Big Guns,Neutral,Reports coming campaign,News
"https://www.loc.gov/resource/sn83045462/1963-07-10/ed-1/?sp=44&q=women%27s+suffrage+movement&st=text&r=0.108,0.236,0.977,0.837,0",The Evening Star,7/10/1963,DC,President Asks Women for Help,Pro,Potrays women positively,News
https://www.loc.gov/resource/sn83045293/1913-03-14/ed-1/?sp=6&q=women%27s+suffrage+movement&r=-0.015%2C0.437%2C0.472%2C0.404%2C0&st=text,The Milwaukee Leader,3/14/1913,WI,Suffragists' Votes Unavaling So Long as the Grocery bill Continues to Soar and Wages Remain Stationary,Pro,Connects political suffrage to broader economic freedom,Opinion
"https://www.loc.gov/resource/sn88056114/1908-08-29/ed-1/?sp=14&q=women%27s+suffrage+movement&st=text&r=0.244,0.648,0.605,0.519,0",The Idaho Scimitar,8/29/1908,ID,Ninety Years' Experience,Pro,Defends suffrage movement using historical evidence,Editorial
https://www.loc.gov/resource/sn85038008/1897-10-09/ed-1/?sp=2&q=women%27s+suffrage+movement&r=-0.154%2C0.012%2C1.194%2C1.024%2C0&st=text,The Woman's Tribune,10/9/1897,NE,Nebraska Annual Convention,Pro,Discusses adaption of suffrage to modern conditions,Editorial
"https://www.loc.gov/resource/sn87062268/1915-08-21/ed-1/?sp=5&q=women%27s+suffrage+movement&st=text&r=0.16,0.068,0.502,0.431,0",The Pensacola Journal,8/21/1915,FL,A Question of Chivalry,Pro,Growing media support for suffrage,News
"https://www.loc.gov/resource/sn86069395/1914-03-19/ed-1/?sp=8&q=women%27s+suffrage+amendment&st=text&r=0.295,0.267,0.473,0.406,0",Hopkinsville Kentuckian,3/19/1914,KY,Borah Says Ring Off,Anti,Opposes federal amendment,News
"https://www.loc.gov/resource/sn92067163/1919-06-06/ed-1/?sp=6&q=women%27s+suffrage+amendment&st=text&r=0.034,0.361,0.547,0.469,0",The Kemmerer Republican,6/6/1919,WY,G.O.P. Reddems Pledge to Give Women Suffrage,Pro,Reports Legislative sucess,News
"https://www.loc.gov/resource/sn83045487/1917-01-30/ed-1/?sp=24&q=women%27s+suffrage+amendment&st=text&r=-0.312,-0.081,1.624,1.624,0",The Day Book,1/30/1917,IL,The Women Picket,Anti,Ridicules picketing,Editorial
https://www.loc.gov/resource/sn86091092/1919-12-19/ed-1/?sp=3&q=women%27s+suffrage+amendment&r=0.077%2C0.039%2C0.581%2C0.499%2C0&st=text,The Caldwell Tribune,12/19/1919,ID,College Coeds Urge Suffrage,Pro,Highlights student activism ,News
https://www.loc.gov/resource/sn99062049/1914-05-01/ed-1/?sp=3&q=women%27s+suffrage+amendment&st=text,The Sisseton Weekly Standard,5/1/1914,SD,W.C.T.U. Column,Pro,Predicts Montana suffrage,News
https://www.loc.gov/resource/sn85042354/1920-07-09/ed-1/?sp=12&q=women%27s+suffrage+amendment&r=-0.076%2C0.092%2C0.48%2C0.411%2C0&st=text,The Evening Journal,7/9/1920,DE,Uncle Harry Talks About Women Voting in the Presidential Election,Pro,Informative on suffrage progess,News
